"시도별","산업별",2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018
"시도별","산업별",기업체수 (개),종사자수 (명),급여액 (백만원),운송수단 및 창고수 (수),매출액 (백만원),영업비용 (백만원),부가가치 (백만원),유형자산 (백만원),기업체수 (개),종사자수 (명),급여액 (백만원),운송수단 및 창고수 (수),매출액 (백만원),영업비용 (백만원),부가가치 (백만원),유형자산 (백만원),기업체수 (개),종사자수 (명),급여액 (백만원),운송수단 및 창고수 (수),매출액 (백만원),영업비용 (백만원),부가가치 (백만원),유형자산 (백만원),기업체수 (개),종사자수 (명),급여액 (백만원),운송수단 및 창고수 (수),매출액 (백만원),영업비용 (백만원),부가가치 (백만원),유형자산 (백만원),기업체수 (개),종사자수 (명),급여액 (백만원),운송수단 및 창고수 (수),매출액 (백만원),영업비용 (백만원),부가가치 (백만원),유형자산 (백만원),기업체수 (개),종사자수 (명),급여액 (백만원),운송수단 및 창고수 (수),매출액 (백만원),영업비용 (백만원),부가가치 (백만원),유형자산 (백만원),기업체수 (개),종사자수 (명),급여액 (백만원),운송수단 및 창고수 (수),매출액 (백만원),영업비용 (백만원),부가가치 (백만원),유형자산 (백만원),기업체수 (개),종사자수 (명),급여액 (백만원),운송수단 및 창고수 (수),매출액 (백만원),영업비용 (백만원),부가가치 (백만원),유형자산 (백만원),기업체수 (개),종사자수 (명),급여액 (백만원),운송수단 및 창고수 (수),매출액 (백만원),영업비용 (백만원),부가가치 (백만원),유형자산 (백만원),기업체수 (개),종사자수 (명),급여액 (백만원),운송수단 및 창고수 (수),매출액 (백만원),영업비용 (백만원),부가가치 (백만원),유형자산 (백만원),기업체수 (개),종사자수 (명),급여액 (백만원),운송수단 및 창고수 (수),매출액 (백만원),영업비용 (백만원),부가가치 (백만원),유형자산 (백만원)
"대구광역시","육상운송 및 파이프라인 운송업",19015,55185,654504,42769,2089917,2028808,1075279,4317361,19249,47883,630553,40582,1965333,1927699,1003900,4025056,19255,47190,633055,41092,1935232,1829895,1050392,4046970,19546,48035,713529,42135,2369049,2272460,1176128,3851309,19095,48019,707252,42244,2177957,1994835,1207524,3775169,19816,46644,698034,42518,2052287,1908875,1159226,3894702,20488,44330,619682,39223,1827353,1705730,1052802,4021867,20374,44479,669857,37207,1940584,1886501,1048291,4233913,20542,43425,724861,37556,2035127,1979697,1172791,5345349,20601,44622,769735,38959,2307584,2232617,1236656,5395147,20828,43633,828297,37555,2342366,2244700,1212632,1238563
"대구광역시","수상 운송업",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"대구광역시","항공 운송업",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"대구광역시","창고 및 운송관련 서비스업",1232,2855,33102,72,463334,192164,338316,205216,997,3125,47215,152,420164,232923,272047,221015,990,2365,35155,163,414467,212178,269603,157139,1013,2557,48143,149,625440,447807,272868,267652,1000,2628,49496,134,635397,448832,276802,196533,993,2423,25238,98,163210,122414,81919,161389,981,2048,22840,132,116782,84488,70156,163422,1011,1855,19848,86,108079,70568,69715,109514,994,2106,35477,63,165723,117583,103468,116122,915,2236,39340,103,178188,145711,94360,148825,897,2254,33954,98,185332,160944,83952,281899
"인천광역시","육상운송 및 파이프라인 운송업",17963,46371,635447,40207,2499773,2290535,1241869,2787832,18171,49745,717690,45438,2787747,2486586,1355083,3029527,19254,43405,559438,37299,2112469,1820628,1103197,3317193,19126,54060,928001,46245,4142832,3881732,1674835,3157145,18969,50159,754962,41107,3119821,2736531,1504029,2717406,19756,48486,801913,40794,3012049,2547256,1593539,2100262,20221,48144,782142,39055,2958134,2477228,1626253,2452381,20318,48389,790584,39916,2790250,2371959,1617754,2146197,20795,48204,775846,40473,2928619,2279310,1812898,2189037,21320,46687,844113,37868,2944509,2392909,1813239,4642135,21743,47012,849592,38932,2981102,2620378,1625006,3850824
"인천광역시","수상 운송업",27,839,23961,114,119370,111998,70093,83675,25,636,20395,87,102495,92549,62363,75968,25,610,22171,91,118971,112811,66722,82790,23,660,23380,93,161149,152395,75056,119952,26,806,32073,116,194770,191098,88103,147727,40,979,38937,169,216184,210291,89476,169169,39,825,35265,151,181332,173061,84734,150604,43,916,39588,166,203189,180771,119599,166213,49,1027,43053,181,238500,218949,114122,204571,42,867,39694,162,193141,178058,129055,215688,40,735,34698,141,146965,146814,89719,161260
"인천광역시","항공 운송업",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,...,...,...,...,...,...,...,1,...,...,...,...,...,...,...,1,...,...,...,...,...,...,...,4,79,4073,33,197924,115818,90910,954,2,...,...,...,...,...,...,...,2,...,...,...,...,...,...,...,3,488,17692,142,241088,163715,103479,6590,2,X,X,X,X,X,X,X
"인천광역시","창고 및 운송관련 서비스업",1335,9697,267755,605,2124695,1488362,1335789,10336766,816,8126,252223,657,1922181,1381807,1246133,10474509,742,8851,283977,554,2071037,1522963,1406737,10386688,794,8786,313867,543,2488531,1765644,1676222,10373773,775,7114,243523,502,2443779,1514302,1708646,10574812,775,8367,280551,393,2651162,1673186,1817785,10214249,770,8577,289199,404,2807843,1695540,1911748,10501891,793,8812,319487,328,3065747,1784864,2123077,11596647,1079,12540,482309,420,3771584,2191375,2662348,13106413,1323,13214,511126,260,4219730,2407328,2926077,11732261,1319,14714,579564,226,4449435,2871953,2924133,11732483
"광주광역시","육상운송 및 파이프라인 운송업",8991,23309,279066,19027,942557,840223,517730,1264608,8875,23113,279914,19017,1008592,928395,509802,1281948,8917,23210,280563,18766,990683,899906,516236,1927606,9143,23675,312716,19840,1079743,1030774,537056,2077029,9150,24358,355538,20437,1262980,1118793,669394,1956461,9324,24134,363413,21192,1273623,1138551,683525,1891170,9748,24270,350400,21111,1162502,1114663,584802,1787369,9816,26075,475126,21294,1538053,1371265,905314,1980332,9856,26424,497365,21227,1652292,1458933,964732,1791377,10042,26596,499893,21936,1749405,1525155,1021395,1783930,10191,24347,403477,19978,1335023,1236310,725310,1716136
"광주광역시","수상 운송업",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,...,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
