특성별(1),2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021
특성별(1),배달앱,배달앱,배달대행,배달대행,배달앱,배달앱,배달대행,배달대행,배달앱,배달앱,배달대행,배달대행,배달앱,배달앱,배달대행,배달대행
특성별(1),이용여부 (%),이용여부 (%),이용여부 (%),이용여부 (%),이용여부 (%),이용여부 (%),이용여부 (%),이용여부 (%),이용여부 (%),이용여부 (%),이용여부 (%),이용여부 (%),이용여부 (%),이용여부 (%),이용여부 (%),이용여부 (%)
특성별(1),예,아니오,예,아니오,예,아니오,예,아니오,예,아니오,예,아니오,예,아니오,예,아니오
전체,7.6,92.4,5.4,94.6,11.2,88.8,10,90,19.9,80.1,15.4,84.6,29.5,70.5,18.5,81.5
